com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00526657,TOWARD TOMORROW PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00526657,,JOAQUIN CASTRO,"$7,100.00","$34,032.60","$2,594.83",2013-06-30
C00420661,TRANS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00420661,"LATOURETTE, STEVEN",L2,,,,
C00433680,TREASURE STATE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00433680,"TESTER, JON",,"$277,116.00","$247,457.10","$41,264.63",2013-10-31
C00417865,TRUEDEM LEADERSHIP FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00417865,,REP MARCY KAPTUR,"$7,500.00","$17,893.80","$1,003.92",2013-09-30
C00330720,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,http://docquery.fec.gov/cgi-bin/fecimg/?C00330720,"UPTON, FREDERICK STEPHEN",,"$383,167.00","$309,744.70","$299,606.63",2013-10-16
C00413070,TRUTH ACCOUNTABILITY AND COURAGE POLITICAL ACTION COMMITTEE (TACPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00413070,"COBURN, SENATOR THOMAS",COBURN,"$235,004.50","$205,263.00","$79,628.39",2013-10-31
C00523894,TRUTH IN LEADERSHIP COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00523894,,STACEY LAWSON,,,,
C00498360,TRUTH IS MARKETS WORK FUND A/K/A TIM W FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00498360,,TIMOTHY L WALBERG,$50.00,$832.30,"$5,028.18",2013-06-30
C00517235,TURQUOISE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00517235,,BEN R LUJAN,"$40,264.00","$37,907.00","$11,546.71",2013-06-30
C00429787,UNITED FOR PROGRESS LEADERSHIP COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00429787,"COSTELLO, JERRY",,,"$11,173.40","$248,766.57",2013-10-31
C00345033,UNITED IN FREEDOM,http://docquery.fec.gov/cgi-bin/fecimg/?C00345033,"SWEENEY, JOHN",,,,"$2,866.13",2013-06-30
C00422774,USA PAC - UNITED FOR A STRONG AMERICA,http://docquery.fec.gov/cgi-bin/fecimg/?C00422774,"SCHIFF, ADAM",SCHIFF,,"$1,219.00","$2,018.37",2013-06-30
C00431197,VALLEY POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00431197,,REPRESENTATIVE COLLIN C. PETERSON,"$89,552.80","$62,240.00","$42,708.63",2013-11-30
C00499798,VICKY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00499798,"HARTZLER, VICKY",HARTZLER,$500.00,"$3,459.30","$2,184.23",2013-09-30
C00378695,VICTORY IN NOVEMBER ELECTION PAC (VINEPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00378695,,MIKE THOMPSON,"$62,233.20","$53,001.00","$47,502.01",2013-06-30
